Title,Country,Year,Policy Status,Policy Type,Policy Target
Albanian National Strategy of Energy,Albania,2003 (July 31st),In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Law on creating facilitating conditions for the construction of new sources of electricity generation (Law No. 8987),Albania,2002 (December 24th),In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources
Yukon Municipal Energy Solutions Partnership ,Albania,2003,In Force ,Economic Instruments>Direct investment>Infrastructure investments ,Multiple RE Sources
Law 04-90 on Renewable Energy Promotion in the Framework of Sustainable Development,Algeria,2004,In Force ,"Regulatory Instruments>Codes and standards, Policy Support>Institutional creation, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Research programme >Technology development ","Wind, Bioenergy>Biomass for power, Geothermal, Hydropower, Multiple RE Sources>Power, Solar, Bioenergy"
Law 04-92 on the Diversification of Power Generation Costs (REFIT),Algeria,2004,In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
Law 99-09 on the Management of Energy,Algeria,1999,In Force ,"Policy Support>Strategic planning, Policy Support>Institutional creation ",Multiple RE Sources
Renewable Energy and Energy Efficiency Development Plan 2011-2030,Algeria,2011 (February),In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power, Multiple RE Sources>Heating, Multiple RE Sources>Cooling, Solar, Solar>Solar photovoltaic, Solar Thermal"
Renewable Energy and Energy Efficiency Development Plan 2015-2030,Algeria,2015,In Force ,Policy Support>Strategic planning ,"Wind, Solar, Multiple RE Sources>Power, Geothermal, Bioenergy"
Renewable Energy National Fund,Algeria,2009,In Force ,"Policy Support>Institutional creation, Economic Instruments>Fiscal/financial incentives ","Multiple RE Sources, Multiple RE Sources>All"
Draft of National Energy Policy,Antigua and Barbuda,,Planned ,Policy Support>Strategic planning ,Multiple RE Sources
Interconnection Policy for Renewable Generating Source,Antigua and Barbuda,2011 (December 1st),In Force ,Regulatory Instruments ,"Multiple RE Sources, Wind, Solar Thermal, Solar, Ocean, Hydropower, Geothermal, Bioenergy"
Waiver of Import Duty on RE and EE equipment,Antigua and Barbuda,2011,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,"Multiple RE Sources, Solar, Solar Thermal, Hydropower"
Program to Promote the Use of Renewable Energy in Electricity Generation (Dec. 531; Law 27.191),Argentina,2016,In Force ,"Economic Instruments>Market-based instruments, Policy Support>Institutional creation ",Multiple RE Sources
Promotion of Renewable Sources of Energy for Electricity Production (26.190),Argentina,2007,Superseded ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support, Policy Support>Strategic planning ",Multiple RE Sources>Power
Proyecto de Energia Renovable en el Mercado Electrico Rural (PERMER),Argentina,1999,Ended ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources>Power, Multiple RE Sources"
Action Plan of the Ministry of Energy and Natural Resources of the RA Stipulated by the Provisions of the National Security Strategies of Armenia,Armenia,2007 (November 1st),In Force ,"Policy Support>Strategic planning, Policy Support ",Multiple RE Sources
Energy Law of the Republic of Armenia,Armenia,2001 (March 7th),In Force ,"Policy Support, Policy Support>Strategic planning, Policy Support>Institutional creation ","Multiple RE Sources, Hydropower"
National Program on Energy Savings and Renewable Energy 2007,Armenia,2007 (January 18th),In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
Scaling Up Renewable Energy Program for Armenia (SREP Armenia),Armenia,2014 (April),In Force ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Wind, Solar, Geothermal, Hydropower"
The Action Plan of the Government of Republic of Armenia Aimed at the Implementation of the National Program on Energy Saving and Renewable Energy of Republic of Armenia,Armenia,2010 (November 4th),In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
The Law of the Republic of Armenia on Energy Saving and Renewable Energy 2004,Armenia,2004 (November 9th),In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
The Law on Changes and Amendments to The Energy Law of RA,Armenia,2013 (June 19th),In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Solar"
Securing Australias Energy Future - White Paper on Energy,Australia,2004,Ended ,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives, Research, Development and Deployment (RD&D), Policy Support ",Multiple RE Sources>All
Accelerated Step Change Initiative (ASCI) ,Australia,2013 (February),In Force ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources
Advanced Electricity Storage Technologies Program ,Australia,2004,Ended ,"Research, Development and Deployment (RD&D)>Research programme , Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D) ",Multiple RE Sources>All
Australian Capital Territory Electricity Feed-In Tariff Scheme,Australia,2009,In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Wind, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Multiple RE Sources>All, Ocean, Solar, Solar Thermal, Solar>Solar photovoltaic, Multiple RE Sources>Power"
Australian Renewable Energy Agency (ARENA),Australia,2012,In Force ,"Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development, Research, Development and Deployment (RD&D) ","Solar Thermal, Bioenergy>Biofuels for transport, Geothermal, Multiple RE Sources, Solar, Solar>Solar photovoltaic, Ocean"
Australian Trade Commission (AUSTRADE) - Clean Energy Export Strategy,Australia,2008,Ended ,Policy Support>Strategic planning ,"Wind, Bioenergy, Geothermal, Multiple RE Sources>All, Ocean>Tidal, Ocean>Wave, Solar"
Bilateral Climate Action Partnerships (CAP),Australia,2002,In Force ,"Voluntary Approaches>Public Voluntary Schemes, Policy Support ",Multiple RE Sources>All
Carbon Pricing Mechanism,Australia,2012 (July 1),Ended ,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Market-based instruments, Economic Instruments>Market-based instruments>GHG emissions trading ","Multiple RE Sources, Multiple RE Sources>Heating"
Clean Business Australia,Australia,2008,Ended ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources>Power, Multiple RE Sources>Heating"
Clean Energy and Other Skills Package,Australia,2011,In Force ,"Information and Education>Information provision, Information and Education>Advice/Aid in Implementation, Information and Education>Professional training and qualification ",Multiple RE Sources
Clean Energy Finance Corporation (CEFC),Australia,2015,In Force ,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Direct investment, Regulatory Instruments>Codes and standards ",Multiple RE Sources
Clean Energy Future Plan,Australia,2012,Ended ,"Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Policy Support>Institutional creation, Policy Support>Strategic planning ",Multiple RE Sources
Clean Energy Initiative,Australia,2009,Ended ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development ","Solar Thermal, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Multiple RE Sources>Power, Solar>Solar photovoltaic, Solar"
Clean Technology Focus for Supply Chains,Australia,2011,Ended ,"Information and Education>Information provision, Information and Education>Advice/Aid in Implementation ",Multiple RE Sources
Clean Technology Innovation Programme,Australia,2012,Ended ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources
Emerging Renewables Program,Australia,2011 (August 8th),Superseded ,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Direct investment>RD&D funding, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion ",Multiple RE Sources
Enterprise Connect,Australia,2009,Ended ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources
Funding for Low Emissions Technology and Abatement,Australia,2005,Ended ,"Research, Development and Deployment (RD&D), Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources>All
Global Methane Initiative,Australia,2010,In Force ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Policy Support ",Multiple RE Sources>All
Greenhouse Gas Abatement Programme,Australia,2000,Ended ,"Regulatory Instruments>Monitoring, Economic Instruments>Fiscal/financial incentives ",Multiple RE Sources>All
GreenPower Scheme,Australia,1997,In Force ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education>Performance Label>Endorsement label, Regulatory Instruments>Auditing, Regulatory Instruments>Codes and standards ",Multiple RE Sources>All
Improving Grid Accessibility,Australia,2004,Ended ,Regulatory Instruments ,"Multiple RE Sources>Power, Multiple RE Sources>All"
LivingGreener.gov.au - Online portal,Australia,2009,Superseded ,Information and Education>Information provision ,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>Heating"
Low Emissions Technology Demonstration Fund,Australia,2004,Ended ,"Research, Development and Deployment (RD&D), Economic Instruments>Fiscal/financial incentives ",Multiple RE Sources>All
Measures for a Better Environment Package,Australia,2000,Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives ",Multiple RE Sources>All
National Low Emissions Coal Initiative,Australia,2008,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme ",Multiple RE Sources
Queensland Cleaner Energy Strategy,Australia,2000,Superseded ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Strategic planning, Economic Instruments>Direct investment>Procurement rules, Research, Development and Deployment (RD&D) ",Multiple RE Sources
Queensland Smart Energy Policy,Australia,2007,Ended ,"Regulatory Instruments>Obligation schemes , Information and Education>Advice/Aid in Implementation, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Loans, Policy Support>Strategic planning, Regulatory Instruments>Monitoring, Regulatory Instruments>Auditing, Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support ","Solar>Solar photovoltaic, Multiple RE Sources>Power"
Regional Australia's Renewables (RAR),Australia,2013,Superseded ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources
Remote Indigenous Energy Program,Australia,2011,Ended ,"Economic Instruments>Direct investment>Infrastructure investments, Information and Education>Advice/Aid in Implementation, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Multiple RE Sources>Power, Multiple RE Sources"
Renewable Energy Action Agenda,Australia,2000,Ended ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Policy Support>Strategic planning ",Multiple RE Sources>All
Renewable Energy Commercialisation Programme,Australia,1999,Superseded ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources>All
Renewable Energy Demonstration Program (REDP),Australia,2009,Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development ","Multiple RE Sources, Bioenergy, Geothermal, Solar, Ocean"
Renewable Energy Development Initiative,Australia,2004,Ended ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives ",Multiple RE Sources>All
Renewable Energy Equity Fund,Australia,1999,Ended ,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Loans, Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources>All
Renewable Energy Industry Development (REID),Australia,2003,Superseded ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources>All
Renewable Energy Industry Programme (REIP),Australia,1998,Superseded ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources>All
Renewable Energy Initiative,Australia,1994,Ended ,,Multiple RE Sources
Renewable Energy Target,Australia,2010,In Force ,Regulatory Instruments ,Multiple RE Sources>Power
Renewable Energy Target ,Australia,2001,In Force ,Regulatory Instruments ,Multiple RE Sources>Power
Renewable Energy Venture Capital Fund,Australia,2011 (Mai 10th),In Force ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Direct investment>RD&D funding ",Multiple RE Sources
Renewable Remote Power Generation Programme,Australia,2000,Ended ,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources>All
Research and Development (R&D) Program ,Australia,2014,In Force ,"Research, Development and Deployment (RD&D) ","Multiple RE Sources>Power, Solar Thermal, Solar"
Safeguarding the Future: Australias Response to Climate Change,Australia,1998,Ended ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Voluntary Approaches ",Multiple RE Sources>All
Solar Cities,Australia,2004,Ended ,"Economic Instruments>Fiscal/financial incentives, Research, Development and Deployment (RD&D), Information and Education>Information provision, Research, Development and Deployment (RD&D)>Demonstration project, Regulatory Instruments>Monitoring ","Solar Thermal, Multiple RE Sources, Multiple RE Sources>Power, Solar, Solar>Solar photovoltaic"
Supporting High Value Australian Renewable Energy (SHARE) Initiative ,Australia,2014 (February),Superseded ,"Research, Development and Deployment (RD&D), Information and Education>Advice/Aid in Implementation ",Multiple RE Sources>All
